"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"96118","LOYALTON, CA",,"G",52,"G",256,"G",1549,23,"LOYALTON","CA","SIERRA"
"96120","MARKLEEVILLE, CA",,"G",84,"G",473,"G",2038,27,"MARKLEEVILLE","CA","ALPINE"
"96121","MILFORD, CA","A","D",0,"D",0,"D",0,1,"MILFORD","CA","LASSEN"
"96122","PORTOLA, CA",,"G",726,"G",6603,"G",29068,99,"PORTOLA","CA","PLUMAS"
"96124","CALPINE, CA","A","D",0,"D",0,"D",0,5,"CALPINE","CA","SIERRA"
"96125","SIERRA CITY, CA","A","S",0,"S",0,"H",756,10,"SIERRA CITY","CA","SIERRA"
"96126","SIERRAVILLE, CA",,"G",47,"G",346,"G",1643,8,"SIERRAVILLE","CA","SIERRA"
"96127","SUSANVILLE, CA",,"G",11,"G",65,"G",362,3,"SUSANVILLE","CA","LASSEN"
"96128","STANDISH, CA",,"G",38,"H",175,"H",807,5,"STANDISH","CA","LASSEN"
"96129","BECKWOURTH, CA","B","D",0,"D",0,"D",0,6,"BECKWOURTH","CA","PLUMAS"
"96130","SUSANVILLE, CA",,"G",2614,"G",17746,"G",76263,310,"SUSANVILLE","CA","LASSEN"
"96132","TERMO, CA","A","D",0,"D",0,"D",0,2,"TERMO","CA","LASSEN"
"96133","TOPAZ, CA","A","D",0,"D",0,"D",0,2,"TOPAZ","CA","MONO"
"96134","TULELAKE, CA",,"G",236,"G",1416,"G",7056,31,"TULELAKE","CA","SISKIYOU"
"96135","VINTON, CA","A","D",0,"D",0,"D",0,1,"VINTON","CA","PLUMAS"
"96136","WENDEL, CA","B","D",0,"D",0,"D",0,2,"WENDEL","CA","LASSEN"
"96137","WESTWOOD, CA",,"H",280,"G",2055,"G",10276,79,"WESTWOOD","CA","LASSEN"
"96140","CARNELIAN BAY, CA","E","S",0,"H",1849,"H",10676,53,"CARNELIAN BAY","CA","PLACER"
"96141","HOMEWOOD, CA",,"H",401,"H",1550,"H",6966,33,"HOMEWOOD","CA","PLACER"
"96142","TAHOMA, CA",,"G",84,"G",726,"G",3342,28,"TAHOMA","CA","EL DORADO"
"96143","KINGS BEACH, CA",,"G",537,"G",3364,"G",16661,103,"KINGS BEACH","CA","PLACER"
"96145","TAHOE CITY, CA",,"G",1951,"G",14112,"G",68435,365,"TAHOE CITY","CA","PLACER"
"96146","OLYMPIC VALLEY, CA",,"G",4132,"G",19525,"G",64580,107,"OLYMPIC VALLEY","CA","PLACER"
"96148","TAHOE VISTA, CA",,"G",256,"G",1922,"G",9646,55,"TAHOE VISTA","CA","PLACER"
"96150","SOUTH LAKE TAHOE, CA",,"G",7189,"H",52666,"G",224122,834,"SOUTH LAKE TAHOE","CA","EL DORADO"
"96151","SOUTH LAKE TAHOE, CA",,"G",195,"G",997,"G",4696,30,"SOUTH LAKE TAHOE","CA","EL DORADO"
"96152","SOUTH LAKE TAHOE, CA","A","D",0,"D",0,"D",0,1,"SOUTH LAKE TAHOE","CA","EL DORADO"
"96154","SOUTH LAKE TAHOE, CA","A","D",0,"D",0,"D",0,2,"SOUTH LAKE TAHOE","CA","EL DORADO"
"96155","SOUTH LAKE TAHOE, CA","B","S",0,"H",134,"H",568,12,"SOUTH LAKE TAHOE","CA","EL DORADO"
"96156","SOUTH LAKE TAHOE, CA","G","D",0,"D",0,"D",0,2,"SOUTH LAKE TAHOE","CA","EL DORADO"
"96157","SOUTH LAKE TAHOE, CA","B","D",0,"D",0,"D",0,3,"SOUTH LAKE TAHOE","CA","EL DORADO"
"96158","SOUTH LAKE TAHOE, CA",,"H",165,"G",1200,"H",8129,22,"SOUTH LAKE TAHOE","CA","EL DORADO"
"96160","TRUCKEE, CA",,"G",2135,"G",11552,"G",41596,66,"TRUCKEE","CA","NEVADA"
"96161","TRUCKEE, CA",,"G",7261,"G",61714,"G",265807,775,"TRUCKEE","CA","NEVADA"
"96162","TRUCKEE, CA","B","S",0,"G",153,"G",899,16,"TRUCKEE","CA","NEVADA"
"96701","AIEA, HI",,"G",14978,"G",126215,"G",539142,1098,"AIEA","HI","HONOLULU"
"96703","ANAHOLA, HI",,"G",47,"G",257,"G",1046,16,"ANAHOLA","HI","KAUAI"
"96704","CAPTAIN COOK, HI",,"G",563,"G",3381,"G",14557,61,"CAPTAIN COOK","HI","HAWAII"
"96705","ELEELE, HI",,"G",520,"G",4673,"G",18975,36,"ELEELE","HI","KAUAI"
"96706","EWA BEACH, HI",,"G",4060,"G",30763,"G",129965,289,"EWA BEACH","HI","HONOLULU"
"96707","KAPOLEI, HI",,"G",16038,"G",173719,"G",720553,672,"KAPOLEI","HI","HONOLULU"
"96708","HAIKU, HI",,"H",591,"G",4033,"G",19818,180,"HAIKU","HI","MAUI"
"96709","KAPOLEI, HI","C","D",0,"D",0,"D",0,8,"KAPOLEI","HI","HONOLULU"
"96710","HAKALAU, HI",,"G",16,"G",40,"G",254,8,"HAKALAU","HI","HAWAII"
"96712","HALEIWA, HI",,"G",1556,"G",9722,"G",42236,197,"HALEIWA","HI","HONOLULU"
"96713","HANA, HI",,"G",252,"G",1449,"G",6191,32,"HANA","HI","MAUI"
"96714","HANALEI, HI",,"G",778,"G",4194,"G",18712,102,"HANALEI","HI","KAUAI"
"96715","HANAMAULU, HI","B","D",0,"D",0,"D",0,6,"HANAMAULU","HI","KAUAI"
"96716","HANAPEPE, HI","E","S",0,"H",2027,"H",9592,47,"HANAPEPE","HI","KAUAI"
"96717","HAUULA, HI",,"G",256,"G",1407,"G",6096,35,"HAUULA","HI","HONOLULU"
"96718","HAWAII NATIONAL PARK, HI",,"H",70,"H",450,"H",1999,6,"HAWAII NATIONAL PARK","HI","HAWAII"
"96719","HAWI, HI",,"G",147,"G",1288,"G",5478,21,"HAWI","HI","HAWAII"
"96720","HILO, HI",,"G",18156,"G",147292,"G",611397,1336,"HILO","HI","HAWAII"
"96721","HILO, HI",,"G",32,"G",307,"G",1401,11,"HILO","HI","HAWAII"
"96722","PRINCEVILLE, HI",,"G",1600,"G",14331,"G",60984,120,"PRINCEVILLE","HI","KAUAI"
"96725","HOLUALOA, HI",,"H",199,"H",1195,"H",4912,61,"HOLUALOA","HI","HAWAII"
"96726","HONAUNAU, HI",,"G",25,"G",232,"G",1071,9,"HONAUNAU","HI","HAWAII"
"96727","HONOKAA, HI",,"H",378,"G",2296,"G",8820,62,"HONOKAA","HI","HAWAII"
"96728","HONOMU, HI",,"G",29,"G",128,"G",508,7,"HONOMU","HI","HAWAII"
"96729","HOOLEHUA, HI",,"G",86,"G",435,"G",1858,13,"HOOLEHUA","HI","MAUI"
"96730","KAAAWA, HI","C","D",0,"D",0,"D",0,14,"KAAAWA","HI","HONOLULU"
"96731","KAHUKU, HI",,"G",1209,"G",9140,"G",39140,50,"KAHUKU","HI","HONOLULU"
"96732","KAHULUI, HI",,"G",17371,"G",154381,"G",635254,854,"KAHULUI","HI","MAUI"
"96733","KAHULUI, HI",,"G",129,"G",1617,"G",6536,16,"KAHULUI","HI","MAUI"
"96734","KAILUA, HI",,"G",8796,"G",71837,"G",321109,865,"KAILUA","HI","HONOLULU"
"96737","OCEAN VIEW, HI",,"G",52,"G",302,"G",1301,13,"OCEAN VIEW","HI","HAWAII"
"96738","WAIKOLOA, HI",,"G",2832,"G",22663,"G",93094,175,"WAIKOLOA","HI","HAWAII"
"96739","KEAUHOU, HI",,"G",84,"G",300,"G",1252,12,"KEAUHOU","HI","HAWAII"
"96740","KAILUA KONA, HI",,"G",14448,"G",119536,"G",487109,1121,"KAILUA KONA","HI","HAWAII"
"96741","KALAHEO, HI",,"G",455,"G",3323,"G",14141,83,"KALAHEO","HI","KAUAI"
"96742","KALAUPAPA, HI","A","D",0,"D",0,"D",0,2,"KALAUPAPA","HI","MAUI"
"96743","KAMUELA, HI",,"H",5992,"H",57463,"H",225735,440,"KAMUELA","HI","HAWAII"
"96744","KANEOHE, HI",,"G",8598,"G",65888,"G",274569,802,"KANEOHE","HI","HONOLULU"
"96745","KAILUA KONA, HI",,"G",306,"G",2812,"G",11822,39,"KAILUA KONA","HI","HAWAII"
"96746","KAPAA, HI",,"G",3047,"G",20883,"G",86098,387,"KAPAA","HI","KAUAI"
"96747","KAUMAKANI, HI","B","D",0,"D",0,"D",0,3,"KAUMAKANI","HI","KAUAI"
"96748","KAUNAKAKAI, HI",,"G",831,"H",6137,"H",25169,91,"KAUNAKAKAI","HI","MAUI"
"96749","KEAAU, HI",,"G",1886,"G",13230,"G",55348,152,"KEAAU","HI","HAWAII"
"96750","KEALAKEKUA, HI",,"G",1479,"G",14232,"G",57447,118,"KEALAKEKUA","HI","HAWAII"
"96751","KEALIA, HI",,"G",4,"G",19,"G",63,4,"KEALIA","HI","KAUAI"
"96752","KEKAHA, HI",,"G",419,"H",3274,"H",9319,34,"KEKAHA","HI","KAUAI"
"96753","KIHEI, HI",,"G",12270,"G",99215,"G",402581,840,"KIHEI","HI","MAUI"
"96754","KILAUEA, HI",,"G",736,"G",4378,"G",19401,115,"KILAUEA","HI","KAUAI"
"96755","KAPAAU, HI",,"G",226,"G",1792,"G",7636,29,"KAPAAU","HI","HAWAII"
"96756","KOLOA, HI",,"H",4880,"H",41715,"H",166076,204,"KOLOA","HI","KAUAI"
"96757","KUALAPUU, HI",,"H",43,"G",221,"G",868,6,"KUALAPUU","HI","MAUI"
"96759","KUNIA, HI","C","S",0,"S",0,"H",10319,6,"KUNIA","HI","HONOLULU"
"96760","KURTISTOWN, HI",,"G",158,"G",1071,"G",4058,21,"KURTISTOWN","HI","HAWAII"
"96761","LAHAINA, HI",,"G",15264,"G",128144,"G",506591,856,"LAHAINA","HI","MAUI"
"96762","LAIE, HI",,"G",3275,"G",15303,"G",60572,39,"LAIE","HI","HONOLULU"
"96763","LANAI CITY, HI",,"G",1174,"G",10983,"G",42715,54,"LANAI CITY","HI","MAUI"
"96764","LAUPAHOEHOE, HI",,"G",33,"G",113,"H",1130,11,"LAUPAHOEHOE","HI","HAWAII"
"96765","LAWAI, HI",,"G",173,"G",1311,"G",5529,22,"LAWAI","HI","KAUAI"
"96766","LIHUE, HI",,"G",10472,"G",91022,"G",374962,707,"LIHUE","HI","KAUAI"
"96767","LAHAINA, HI",,"G",133,"G",787,"G",3507,11,"LAHAINA","HI","MAUI"
"96768","MAKAWAO, HI",,"G",2067,"G",14474,"G",60688,266,"MAKAWAO","HI","MAUI"
"96769","MAKAWELI, HI",,"G",17,"G",143,"G",581,4,"MAKAWELI","HI","KAUAI"
"96770","MAUNALOA, HI",,"H",76,"G",397,"G",1523,7,"MAUNALOA","HI","MAUI"
"96771","MOUNTAIN VIEW, HI","C","S",0,"G",440,"G",2001,25,"MOUNTAIN VIEW","HI","HAWAII"
"96772","NAALEHU, HI",,"G",216,"G",1332,"G",5635,27,"NAALEHU","HI","HAWAII"
"96773","NINOLE, HI","A","D",0,"D",0,"D",0,1,"NINOLE","HI","HAWAII"
"96774","OOKALA, HI","B","D",0,"D",0,"D",0,3,"OOKALA","HI","HAWAII"
"96776","PAAUILO, HI",,"G",64,"G",565,"G",2472,11,"PAAUILO","HI","HAWAII"
"96777","PAHALA, HI",,"G",129,"G",1345,"G",5477,10,"PAHALA","HI","HAWAII"
"96778","PAHOA, HI",,"H",743,"G",4446,"G",18865,86,"PAHOA","HI","HAWAII"
"96779","PAIA, HI",,"H",967,"H",7038,"H",29637,103,"PAIA","HI","MAUI"
"96780","PAPAALOA, HI",,"G",6,"G",47,"G",228,4,"PAPAALOA","HI","HAWAII"
"96781","PAPAIKOU, HI","B","D",0,"D",0,"D",0,12,"PAPAIKOU","HI","HAWAII"
"96782","PEARL CITY, HI",,"G",8043,"G",69115,"G",286470,456,"PEARL CITY","HI","HONOLULU"
"96783","PEPEEKEO, HI",,"H",53,"H",247,"H",1043,7,"PEPEEKEO","HI","HAWAII"
"96784","PUUNENE, HI",,"G",761,"G",8501,"G",41656,42,"PUUNENE","HI","MAUI"
"96785","VOLCANO, HI","C","S",0,"H",955,"H",3955,17,"VOLCANO","HI","HAWAII"
"96786","WAHIAWA, HI",,"G",4076,"G",30344,"G",133314,316,"WAHIAWA","HI","HONOLULU"
"96788","PUKALANI, HI",,"G",108,"G",497,"G",1998,10,"PUKALANI","HI","MAUI"
"96789","MILILANI, HI",,"G",5888,"G",52610,"G",203904,402,"MILILANI","HI","HONOLULU"
"96790","KULA, HI",,"G",671,"G",4578,"G",20686,152,"KULA","HI","MAUI"
"96791","WAIALUA, HI",,"G",376,"G",2714,"G",12157,76,"WAIALUA","HI","HONOLULU"
"96792","WAIANAE, HI",,"G",3263,"G",24916,"G",102578,296,"WAIANAE","HI","HONOLULU"
"96793","WAILUKU, HI",,"G",9138,"G",94599,"G",404687,797,"WAILUKU","HI","MAUI"
"96795","WAIMANALO, HI",,"G",1132,"G",8341,"G",33870,96,"WAIMANALO","HI","HONOLULU"
"96796","WAIMEA, HI",,"H",1405,"H",13006,"H",54507,54,"WAIMEA","HI","KAUAI"
"96797","WAIPAHU, HI",,"G",16646,"G",129013,"G",534108,1048,"WAIPAHU","HI","HONOLULU"
"96801","HONOLULU, HI",,"G",144,"G",1053,"G",4126,19,"HONOLULU","HI","HONOLULU"
"96802","HONOLULU, HI","A","D",0,"D",0,"D",0,2,"HONOLULU","HI","HONOLULU"
"96803","HONOLULU, HI","A","D",0,"D",0,"D",0,1,"HONOLULU","HI","HONOLULU"
"96804","HONOLULU, HI","A","D",0,"D",0,"D",0,2,"HONOLULU","HI","HONOLULU"
"96805","HONOLULU, HI","A","D",0,"D",0,"D",0,2,"HONOLULU","HI","HONOLULU"
"96808","HONOLULU, HI",,"G",188,"H",2977,"H",11539,6,"HONOLULU","HI","HONOLULU"
"96809","HONOLULU, HI","B","S",0,"S",0,"H",3581,5,"HONOLULU","HI","HONOLULU"
"96810","HONOLULU, HI",,"G",22,"G",374,"G",1092,8,"HONOLULU","HI","HONOLULU"
"96811","HONOLULU, HI",,"G",8,"H",48,"H",200,3,"HONOLULU","HI","HONOLULU"
"96812","HONOLULU, HI","F","D",0,"D",0,"D",0,11,"HONOLULU","HI","HONOLULU"
"96813","HONOLULU, HI",,"G",50497,"G",718654,"G",2940570,2834,"HONOLULU","HI","HONOLULU"
"96814","HONOLULU, HI",,"G",39451,"G",338339,"G",1376959,2401,"HONOLULU","HI","HONOLULU"
"96815","HONOLULU, HI",,"G",30494,"G",254940,"G",1014277,1623,"HONOLULU","HI","HONOLULU"
"96816","HONOLULU, HI",,"G",11376,"G",80075,"G",352852,1051,"HONOLULU","HI","HONOLULU"
"96817","HONOLULU, HI",,"G",27940,"G",265541,"G",1088708,1855,"HONOLULU","HI","HONOLULU"
"96818","HONOLULU, HI",,"G",5052,"G",35385,"G",142263,390,"HONOLULU","HI","HONOLULU"
"96819","HONOLULU, HI",,"G",48823,"G",575430,"G",2375537,1848,"HONOLULU","HI","HONOLULU"
"96820","HONOLULU, HI",,"G",1726,"G",17176,"G",71664,32,"HONOLULU","HI","HONOLULU"
"96821","HONOLULU, HI",,"G",1811,"G",13191,"G",54933,267,"HONOLULU","HI","HONOLULU"
"96822","HONOLULU, HI",,"G",5976,"G",46406,"G",197349,485,"HONOLULU","HI","HONOLULU"
"96823","HONOLULU, HI",,"G",64,"G",710,"G",2594,10,"HONOLULU","HI","HONOLULU"
"96824","HONOLULU, HI","A","S",0,"H",68,"G",203,7,"HONOLULU","HI","HONOLULU"
"96825","HONOLULU, HI",,"G",4124,"G",27055,"G",121266,442,"HONOLULU","HI","HONOLULU"
"96826","HONOLULU, HI",,"G",8761,"G",80610,"G",351408,838,"HONOLULU","HI","HONOLULU"
"96828","HONOLULU, HI","B","D",0,"D",0,"D",0,4,"HONOLULU","HI","HONOLULU"
"96830","HONOLULU, HI",,"H",44,"G",316,"G",1136,12,"HONOLULU","HI","HONOLULU"
"96836","HONOLULU, HI","A","D",0,"D",0,"D",0,2,"HONOLULU","HI","HONOLULU"
"96837","HONOLULU, HI","B","S",0,"H",354,"H",1519,11,"HONOLULU","HI","HONOLULU"
"96838","HONOLULU, HI","A","D",0,"D",0,"D",0,2,"HONOLULU","HI","HONOLULU"
"96839","HONOLULU, HI",,"H",46,"S",0,"H",1164,7,"HONOLULU","HI","HONOLULU"
"96840","HONOLULU, HI","B","D",0,"D",0,"D",0,1,"HONOLULU","HI","HONOLULU"
"96844","HONOLULU, HI","A","D",0,"D",0,"D",0,1,"HONOLULU","HI","HONOLULU"
"96848","HONOLULU, HI","C","D",0,"D",0,"D",0,2,"HONOLULU","HI","HONOLULU"
"96849","HONOLULU, HI","A","D",0,"D",0,"D",0,1,"HONOLULU","HI","HONOLULU"
"96850","HONOLULU, HI",,"G",56,"G",561,"G",2235,4,"HONOLULU","HI","HONOLULU"
"96853","JBPHH, HI",,"G",315,"G",3821,"G",15546,40,"JBPHH","HI","HONOLULU"
"96854","WHEELER ARMY AIRFIELD, HI",,"G",37,"G",698,"G",3157,7,"WHEELER ARMY AIRFIELD","HI","HONOLULU"
"96857","SCHOFIELD BARRACKS, HI",,"G",643,"G",7641,"G",32752,33,"SCHOFIELD BARRACKS","HI","HONOLULU"
"96858","FORT SHAFTER, HI",,"H",145,"G",1819,"G",7172,24,"FORT SHAFTER","HI","HONOLULU"
"96859","TRIPLER ARMY MEDICAL CENTER, HI","G","D",0,"D",0,"D",0,13,"TRIPLER ARMY MEDICAL CENTER","HI","HONOLULU"
"96860","JBPHH, HI",,"G",562,"G",6611,"G",27453,67,"JBPHH","HI","HONOLULU"
"96861","CAMP H M SMITH, HI",,"G",63,"G",1305,"G",5902,13,"CAMP H M SMITH","HI","HONOLULU"
"96863","MCBH KANEOHE BAY, HI",,"G",224,"G",2463,"G",10370,35,"MCBH KANEOHE BAY","HI","HONOLULU"
"97001","ANTELOPE, OR",,"G",110,"G",607,"G",3620,7,"ANTELOPE","OR","WASCO"
"97002","AURORA, OR",,"G",1574,"G",13851,"G",61847,177,"AURORA","OR","MARION"
"97004","BEAVERCREEK, OR",,"G",321,"G",2569,"G",11418,85,"BEAVERCREEK","OR","CLACKAMAS"
"97005","BEAVERTON, OR",,"G",36077,"H",542760,"H",2408812,1509,"BEAVERTON","OR","WASHINGTON"
"97006","BEAVERTON, OR",,"G",18346,"G",263437,"G",1015790,1248,"BEAVERTON","OR","WASHINGTON"
"97007","BEAVERTON, OR",,"G",7564,"G",91933,"G",334759,846,"BEAVERTON","OR","WASHINGTON"
"97008","BEAVERTON, OR",,"G",8681,"G",120280,"G",492982,719,"BEAVERTON","OR","WASHINGTON"
"97009","BORING, OR",,"G",1909,"G",13507,"G",57673,263,"BORING","OR","CLACKAMAS"
"97010","BRIDAL VEIL, OR","B","D",0,"D",0,"D",0,1,"BRIDAL VEIL","OR","MULTNOMAH"
"97011","BRIGHTWOOD, OR",,"H",42,"G",209,"H",1433,14,"BRIGHTWOOD","OR","CLACKAMAS"
"97013","CANBY, OR",,"G",6063,"G",58671,"G",261866,567,"CANBY","OR","CLACKAMAS"
"97014","CASCADE LOCKS, OR",,"G",169,"H",1017,"H",5772,28,"CASCADE LOCKS","OR","HOOD RIVER"
"97015","CLACKAMAS, OR",,"G",23537,"G",272954,"G",1142980,1152,"CLACKAMAS","OR","CLACKAMAS"
"97016","CLATSKANIE, OR","G","D",0,"D",0,"D",0,116,"CLATSKANIE","OR","COLUMBIA"
"97017","COLTON, OR",,"G",166,"G",1232,"G",5564,36,"COLTON","OR","CLACKAMAS"
"97018","COLUMBIA CITY, OR",,"G",85,"G",534,"G",2208,15,"COLUMBIA CITY","OR","COLUMBIA"
"97019","CORBETT, OR",,"G",240,"G",1371,"G",5889,55,"CORBETT","OR","MULTNOMAH"
"97020","DONALD, OR",,"H",365,"H",3884,"H",16932,25,"DONALD","OR","MARION"
"97021","DUFUR, OR",,"G",103,"H",474,"H",2004,17,"DUFUR","OR","WASCO"
"97022","EAGLE CREEK, OR",,"G",256,"G",2507,"G",10224,56,"EAGLE CREEK","OR","CLACKAMAS"
"97023","ESTACADA, OR",,"H",1188,"G",8539,"G",37931,218,"ESTACADA","OR","CLACKAMAS"
"97024","FAIRVIEW, OR","G","D",0,"D",0,"D",0,138,"FAIRVIEW","OR","MULTNOMAH"
"97026","GERVAIS, OR",,"H",288,"H",1848,"H",8945,41,"GERVAIS","OR","MARION"
"97027","GLADSTONE, OR",,"G",2210,"G",17775,"G",73626,221,"GLADSTONE","OR","CLACKAMAS"
"97028","GOVERNMENT CAMP, OR",,"G",565,"G",2981,"G",12152,26,"GOVERNMENT CAMP","OR","CLACKAMAS"
"97029","GRASS VALLEY, OR","A","S",0,"G",65,"G",305,4,"GRASS VALLEY","OR","SHERMAN"
"97030","GRESHAM, OR",,"G",12662,"G",93916,"G",392835,1089,"GRESHAM","OR","MULTNOMAH"
"97031","HOOD RIVER, OR",,"G",7692,"G",55633,"G",244653,869,"HOOD RIVER","OR","HOOD RIVER"
"97032","HUBBARD, OR",,"G",876,"G",6704,"G",34366,107,"HUBBARD","OR","MARION"
"97033","KENT, OR","A","D",0,"D",0,"D",0,2,"KENT","OR","SHERMAN"
"97034","LAKE OSWEGO, OR",,"H",4249,"G",34152,"G",145892,651,"LAKE OSWEGO","OR","CLACKAMAS"
"97035","LAKE OSWEGO, OR",,"G",14927,"G",230029,"G",923279,1336,"LAKE OSWEGO","OR","CLACKAMAS"
"97036","MARYLHURST, OR",,"G",574,"G",3079,"G",12295,11,"MARYLHURST","OR","CLACKAMAS"
"97037","MAUPIN, OR",,"G",150,"G",778,"G",4504,41,"MAUPIN","OR","WASCO"
"97038","MOLALLA, OR",,"G",2130,"G",14488,"G",62317,321,"MOLALLA","OR","CLACKAMAS"
"97039","MORO, OR",,"H",102,"H",878,"H",3409,16,"MORO","OR","SHERMAN"
"97040","MOSIER, OR",,"G",58,"G",276,"G",1251,21,"MOSIER","OR","WASCO"
"97041","MOUNT HOOD PARKDALE, OR","G","S",0,"S",0,"H",11350,53,"MOUNT HOOD PARKDALE","OR","HOOD RIVER"
"97042","MULINO, OR",,"H",408,"G",4094,"H",16482,72,"MULINO","OR","CLACKAMAS"
"97044","ODELL, OR",,"G",71,"G",519,"G",2517,13,"ODELL","OR","HOOD RIVER"
"97045","OREGON CITY, OR",,"G",10091,"G",78729,"G",343238,1276,"OREGON CITY","OR","CLACKAMAS"
"97048","RAINIER, OR",,"H",726,"H",5198,"H",22949,107,"RAINIER","OR","COLUMBIA"
"97049","RHODODENDRON, OR",,"H",55,"G",247,"G",1406,24,"RHODODENDRON","OR","CLACKAMAS"
"97050","RUFUS, OR",,"G",23,"G",92,"G",397,3,"RUFUS","OR","SHERMAN"
"97051","SAINT HELENS, OR",,"G",3406,"G",24222,"G",98175,333,"SAINT HELENS","OR","COLUMBIA"
